YEAR, ERF (Wm-2),
1850.00, 0.182511,
1851.00, 0.164229,
1852.00, 0.327127,
1853.00, 0.188316,
1854.00, 0.117393,
1855.00, 0.209063,
1856.00, 0.352486,
1857.00, 0.163905,
1858.00, 0.0481191,
1859.00, 0.159390,
1860.00, 0.421350,
1861.00, -0.0619247,
1862.00, -0.191503,
1863.00, -0.120376,
1864.00, 0.0291977,
1865.00, 0.249097,
1866.00, -0.0346550,
1867.00, 0.212864,
1868.00, -0.0368956,
1869.00, 0.191144,
1870.00, 0.578826,
1871.00, 0.0865816,
1872.00, 0.229780,
1873.00, -0.269299,
1874.00, 0.248009,
1875.00, 0.308191,
1876.00, 0.187486,
1877.00, 0.102611,
1878.00, 0.0451098,
1879.00, -0.00514665,
1880.00, 0.206423,
1881.00, -0.0339923,
1882.00, 0.144995,
1883.00, -0.821047,
1884.00, -2.21628,
1885.00, -0.602310,
1886.00, 0.178283,
1887.00, 0.0957464,
1888.00, 0.104739,
1889.00, 0.339247,
1890.00, 0.0945546,
1891.00, 0.149335,
1892.00, 0.299869,
1893.00, 0.338429,
1894.00, 0.361813,
1895.00, 0.243116,
1896.00, 0.351752,
1897.00, 0.00539720,
1898.00, -0.166298,
1899.00, 0.286144,
1900.00, -0.0218331,
1901.00, 0.106815,
1902.00, 0.00669637,
1903.00, -0.823871,
1904.00, -0.292428,
1905.00, 0.196625,
1906.00, 0.197896,
1907.00, -0.133780,
1908.00, 0.335538,
1909.00, 0.124750,
1910.00, 0.209772,
1911.00, -0.00226062,
1912.00, -0.367266,
1913.00, -0.213220,
1914.00, 0.197313,
1915.00, 0.249736,
1916.00, 0.408834,
1917.00, 0.303921,
1918.00, 0.331627,
1919.00, 0.321401,
1920.00, 0.179721,
1921.00, 0.363993,
1922.00, 0.0661787,
1923.00, 0.315854,
1924.00, 0.593183,
1925.00, 0.137163,
1926.00, 0.564082,
1927.00, 0.455461,
1928.00, -0.0396333,
1929.00, -0.0497297,
1930.00, 0.488209,
1931.00, 0.354931,
1932.00, 0.148933,
1933.00, 0.494591,
1934.00, 0.544048,
1935.00, 0.417189,
1936.00, 0.577899,
1937.00, 0.342486,
1938.00, 0.133891,
1939.00, 0.511553,
1940.00, 0.409419,
1941.00, 0.246401,
1942.00, 0.437759,
1943.00, 0.409076,
1944.00, 0.240057,
1945.00, 0.533430,
1946.00, 0.427038,
1947.00, 0.352067,
1948.00, 0.106973,
1949.00, 0.403475,
1950.00, 0.0750520,
1951.00, 0.394167,
1952.00, 0.301243,
1953.00, 0.236896,
1954.00, 0.234582,
1955.00, 0.426757,
1956.00, 0.255436,
1957.00, 0.293805,
1958.00, 0.134357,
1959.00, 0.129103,
1960.00, 0.276209,
1961.00, -0.0957782,
1962.00, -0.188861,
1963.00, -0.940214,
1964.00, -0.505208,
1965.00, -0.194456,
1966.00, 0.112555,
1967.00, -0.0419449,
1968.00, -0.0962303,
1969.00, 0.358857,
1970.00, 0.213771,
1971.00, -0.0604122,
1972.00, -0.0668912,
1973.00, 0.260815,
1974.00, -0.0286734,
1975.00, -0.405234,
1976.00, 0.358813,
1977.00, 0.394041,
1978.00, 0.550611,
1979.00, 0.601117,
1980.00, 0.443205,
1981.00, 0.420696,
1982.00, 0.291931,
1983.00, -0.469025,
1984.00, 0.350736,
1985.00, 0.582140,
1986.00, 0.537735,
1987.00, 0.861214,
1988.00, 1.08977,
1989.00, 0.908226,
1990.00, 1.27024,
1991.00, 0.0953189,
1992.00, -1.06473,
1993.00, -0.0725533,
1994.00, 0.965397,
1995.00, 0.875873,
1996.00, 1.01701,
1997.00, 1.27422,
1998.00, 1.04503,
1999.00, 1.61364,
2000.00, 1.56880,
2001.00, 1.25710,
2002.00, 1.58937,
2003.00, 1.36841,
2004.00, 1.41811,
2005.00, 1.21689,
2006.00, 1.51386,
2007.00, 1.61700,
2008.00, 1.38416,
2009.00, 1.55753,
2010.00, 1.76480,
2011.00, 1.64314,
2012.00, 1.98599,
2013.00, 2.31445,
2014.00, 1.92140,
