YEAR, ERF (Wm-2),
1850.00, 0.236637,
1851.00, 0.0819170,
1852.00, 0.0270572,
1853.00, 0.00372680,
1854.00, -0.140195,
1855.00, 0.270192,
1856.00, 0.0355791,
1857.00, 0.00923981,
1858.00, 0.0855204,
1859.00, 0.154465,
1860.00, 0.308971,
1861.00, -0.0438969,
1862.00, 0.0172273,
1863.00, -0.119777,
1864.00, -0.149060,
1865.00, 0.216973,
1866.00, 0.149148,
1867.00, -0.117688,
1868.00, 0.182230,
1869.00, 0.0669030,
1870.00, 0.0578481,
1871.00, -0.0616434,
1872.00, 0.0888351,
1873.00, 0.107243,
1874.00, -0.0871255,
1875.00, -0.114748,
1876.00, -0.274901,
1877.00, -0.0564287,
1878.00, -0.101219,
1879.00, -0.0779435,
1880.00, -0.0662611,
1881.00, -0.104775,
1882.00, -0.0733293,
1883.00, -0.152469,
1884.00, -0.233499,
1885.00, -0.242899,
1886.00, 0.184243,
1887.00, -0.173048,
1888.00, -0.282992,
1889.00, -0.418629,
1890.00, -0.111846,
1891.00, -0.414896,
1892.00, -0.0522362,
1893.00, -0.197871,
1894.00, -0.229583,
1895.00, -0.111669,
1896.00, -0.343826,
1897.00, 0.0207286,
1898.00, -0.357584,
1899.00, -0.0474603,
1900.00, -0.386109,
1901.00, -0.179157,
1902.00, 0.0995526,
1903.00, -0.146892,
1904.00, -0.459249,
1905.00, -0.222339,
1906.00, -0.285960,
1907.00, -0.314306,
1908.00, -0.472740,
1909.00, -0.258403,
1910.00, -0.544164,
1911.00, -0.428370,
1912.00, -0.504215,
1913.00, -0.259300,
1914.00, -0.172850,
1915.00, -0.314954,
1916.00, -0.406078,
1917.00, -0.205860,
1918.00, -0.498915,
1919.00, -0.388708,
1920.00, -0.602597,
1921.00, -0.498089,
1922.00, -0.517830,
1923.00, -0.320914,
1924.00, -0.536804,
1925.00, -0.135857,
1926.00, -0.654972,
1927.00, -0.349985,
1928.00, -0.496718,
1929.00, -0.472002,
1930.00, -0.505040,
1931.00, -0.502604,
1932.00, -0.0548845,
1933.00, -0.355191,
1934.00, -0.350077,
1935.00, -0.587264,
1936.00, -0.459027,
1937.00, -0.517718,
1938.00, -0.611748,
1939.00, -0.472595,
1940.00, -0.508559,
1941.00, -0.697512,
1942.00, -0.663621,
1943.00, -0.560745,
1944.00, -0.762526,
1945.00, -0.567289,
1946.00, -0.595166,
1947.00, -0.365292,
1948.00, -0.701029,
1949.00, -0.393090,
1950.00, -0.361749,
1951.00, -0.748768,
1952.00, -0.564574,
1953.00, -0.674758,
1954.00, -0.531608,
1955.00, -0.876687,
1956.00, -0.497567,
1957.00, -0.655483,
1958.00, -0.505718,
1959.00, -0.725695,
1960.00, -1.11731,
1961.00, -1.00180,
1962.00, -0.885310,
1963.00, -1.05682,
1964.00, -1.27053,
1965.00, -1.16232,
1966.00, -1.02528,
1967.00, -1.19859,
1968.00, -1.47310,
1969.00, -1.42878,
1970.00, -1.35394,
1971.00, -1.11370,
1972.00, -1.37340,
1973.00, -1.18044,
1974.00, -1.23850,
1975.00, -1.36309,
1976.00, -1.43986,
1977.00, -1.36852,
1978.00, -1.60403,
1979.00, -1.46711,
1980.00, -1.27948,
1981.00, -1.30651,
1982.00, -1.18258,
1983.00, -1.00414,
1984.00, -1.09208,
1985.00, -1.21287,
1986.00, -1.26949,
1987.00, -1.41485,
1988.00, -1.53839,
1989.00, -1.58389,
1990.00, -1.78383,
1991.00, -1.05892,
1992.00, -1.21742,
1993.00, -1.62465,
1994.00, -1.33391,
1995.00, -1.07219,
1996.00, -0.936237,
1997.00, -0.893515,
1998.00, -1.24391,
1999.00, -1.04475,
2000.00, -1.29505,
2001.00, -1.25061,
2002.00, -1.21616,
2003.00, -1.30518,
2004.00, -1.21914,
2005.00, -1.20260,
2006.00, -1.39125,
2007.00, -1.10521,
2008.00, -1.18050,
2009.00, -1.19855,
2010.00, -1.16484,
2011.00, -1.16496,
2012.00, -1.12285,
2013.00, -1.17979,
2014.00, -0.970206,
