YEAR, ERF (Wm-2),
1850.00, 0.224932,
1851.00, 0.0936330,
1852.00, -0.111731,
1853.00, 0.0828968,
1854.00, 0.344133,
1855.00, 0.0573520,
1856.00, 0.136434,
1857.00, 0.345705,
1858.00, -0.243066,
1859.00, -0.289785,
1860.00, 0.109811,
1861.00, 0.0658207,
1862.00, 0.0442708,
1863.00, 0.208356,
1864.00, 0.264770,
1865.00, 0.375049,
1866.00, 0.0320854,
1867.00, 0.310718,
1868.00, 0.178560,
1869.00, 0.122276,
1870.00, 0.213009,
1871.00, 0.407537,
1872.00, 0.477274,
1873.00, 0.360188,
1874.00, 0.130834,
1875.00, 0.150712,
1876.00, 0.211755,
1877.00, 0.293242,
1878.00, 0.347458,
1879.00, 0.246352,
1880.00, 0.157966,
1881.00, 0.194828,
1882.00, 0.150157,
1883.00, 0.159468,
1884.00, 0.333323,
1885.00, 0.274801,
1886.00, 0.301813,
1887.00, 0.344613,
1888.00, 0.463870,
1889.00, 0.291529,
1890.00, 0.399455,
1891.00, 0.191303,
1892.00, 0.242653,
1893.00, 0.210536,
1894.00, 0.282599,
1895.00, 0.402899,
1896.00, 0.368183,
1897.00, 0.237235,
1898.00, 0.209345,
1899.00, 0.441307,
1900.00, 0.321452,
1901.00, 0.337012,
1902.00, 0.325026,
1903.00, 0.233301,
1904.00, 0.336062,
1905.00, 0.619557,
1906.00, 0.352785,
1907.00, 0.557095,
1908.00, 0.364809,
1909.00, 0.488352,
1910.00, 0.568716,
1911.00, 0.471291,
1912.00, 0.421423,
1913.00, 0.472029,
1914.00, 0.201846,
1915.00, 0.701201,
1916.00, 0.521087,
1917.00, 0.478200,
1918.00, 0.775898,
1919.00, 0.693216,
1920.00, 0.347939,
1921.00, 0.542406,
1922.00, 0.719979,
1923.00, 0.628106,
1924.00, 0.703487,
1925.00, 0.627305,
1926.00, 0.560243,
1927.00, 0.559167,
1928.00, 0.807219,
1929.00, 0.769993,
1930.00, 0.634720,
1931.00, 0.871929,
1932.00, 0.720948,
1933.00, 0.738465,
1934.00, 0.622850,
1935.00, 0.634238,
1936.00, 0.634902,
1937.00, 0.622912,
1938.00, 0.740219,
1939.00, 0.720679,
1940.00, 0.894731,
1941.00, 0.789818,
1942.00, 0.923368,
1943.00, 0.640480,
1944.00, 0.840310,
1945.00, 0.875459,
1946.00, 0.691379,
1947.00, 0.695751,
1948.00, 0.730953,
1949.00, 1.02506,
1950.00, 0.953948,
1951.00, 1.17000,
1952.00, 1.06395,
1953.00, 1.03941,
1954.00, 1.01967,
1955.00, 0.985961,
1956.00, 1.04976,
1957.00, 1.16279,
1958.00, 0.755009,
1959.00, 0.988640,
1960.00, 0.886712,
1961.00, 1.11817,
1962.00, 1.39995,
1963.00, 1.03180,
1964.00, 1.06902,
1965.00, 1.03967,
1966.00, 1.00759,
1967.00, 1.42436,
1968.00, 1.05466,
1969.00, 1.60059,
1970.00, 1.63343,
1971.00, 1.56551,
1972.00, 1.41441,
1973.00, 1.75427,
1974.00, 1.42384,
1975.00, 1.51764,
1976.00, 1.59715,
1977.00, 1.57407,
1978.00, 1.33155,
1979.00, 1.71599,
1980.00, 1.65051,
1981.00, 1.90338,
1982.00, 1.99923,
1983.00, 1.91181,
1984.00, 1.84061,
1985.00, 1.94393,
1986.00, 1.78956,
1987.00, 1.97733,
1988.00, 2.42085,
1989.00, 2.27409,
1990.00, 2.26481,
1991.00, 2.34268,
1992.00, 2.33151,
1993.00, 2.39653,
1994.00, 2.38276,
1995.00, 2.36157,
1996.00, 2.59511,
1997.00, 2.66944,
1998.00, 2.30177,
1999.00, 2.50222,
2000.00, 2.73484,
2001.00, 2.59438,
2002.00, 2.63884,
2003.00, 2.71967,
2004.00, 2.80871,
2005.00, 3.02269,
2006.00, 2.50889,
2007.00, 2.67386,
2008.00, 3.03025,
2009.00, 2.80479,
2010.00, 3.11152,
2011.00, 3.00867,
2012.00, 2.93729,
2013.00, 2.99761,
2014.00, 3.28679,
